"offense_type","cleared","dm_offender_age","dm_offender_sex","dm_offender_race","dm_offender_hispanic_latino","dm_victim_age","dm_victim_sex","dm_victim_race","dm_victim_hispanic_latino","dm_victim_residency","injury_severity","weapon_type","relationship","arrest","biased","arrest_type"
agg_assault,not_cleared,"25-31",F,black,no,"25-31",M,black,no,R,major,object,BF/GF,Yes,false,On View
rape,not_cleared,"32-42",M,black,no,"32-42",F,black,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,black,no,"32-42",M,black,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,>42,F,white,no,R,minor,object,BF/GF,No,false,No Arrest
intimidation,not_cleared,"18-24",F,black,no,"25-31",M,black,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,>42,M,black,no,>42,F,white,no,R,major,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"25-31",F,white,no,N,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"18-24",F,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,M,black,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,unknown,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,no,R,minor,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,Yes,false,On View
agg_assault,not_cleared,>42,M,black,no,"32-42",F,black,no,R,major,unknown,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,no,R,minor,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",F,black,no,"25-31",M,black,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,black,no,R,minor,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,no,>42,M,white,no,R,minor,none,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"18-24",F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,other,no,"25-31",M,white,no,R,minor,unknown,BF/GF-gay,Yes,false,On View
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,black,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,white,yes,N,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,yes,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,white,yes,R,minor,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,R,minor,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,unknown,"18-24",F,black,unknown,N,minor,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"25-31",F,black,no,"25-31",M,black,no,R,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"25-31",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,Spouse,Yes,false,On View
agg_assault,not_cleared,"18-24",F,black,no,"18-24",M,black,no,R,none,firearm,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,yes,R,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,yes,"32-42",M,white,unknown,R,minor,none,Spouse,Yes,false,On View
simp_assault,not_cleared,>42,M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"25-31",F,white,yes,R,minor,none,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,no,R,none,none,BF/GF,Yes,false,On View
agg_assault,not_cleared,>42,F,white,no,>42,M,white,unknown,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,other,no,"25-31",F,white,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",F,white,no,"25-31",M,white,no,N,minor,unknown,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,none,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",M,white,unknown,"18-24",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,black,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",F,white,yes,"32-42",F,white,yes,R,none,unknown,BF/GF-gay,Yes,false,On View
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,yes,R,none,object,CL-Spouse,No,false,No Arrest
simp_assault,uncooperative,>42,M,white,unknown,"25-31",F,white,unknown,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,unknown,"18-24",F,white,unknown,N,none,none,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,unknown,"32-42",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,no,R,minor,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,not_cleared,"32-42",F,white,unknown,"25-31",M,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,black,unknown,"25-31",M,black,no,R,none,object,Spouse,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,major,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,unknown,>42,F,white,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,declined,"32-42",F,black,no,>42,M,black,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,black,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,M,black,no,>42,F,black,no,R,none,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,black,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,none,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"32-42",F,black,no,"32-42",M,black,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,yes,"25-31",F,white,yes,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
other,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,minor,unknown,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,minor,unknown,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",F,black,unknown,"18-24",F,black,no,N,none,object,BF/GF-gay,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,yes,"32-42",F,black,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,minor,object,CL-Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"18-24",M,black,no,"32-42",F,black,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,black,no,R,none,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"25-31",F,other,no,"18-24",M,white,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"18-24",M,white,yes,<18,F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",F,black,no,"32-42",F,black,no,N,minor,object,BF/GF-gay,Yes,false,Taken INTO Custody
simp_assault,uncooperative,"25-31",M,white,no,"18-24",F,white,no,U,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,black,no,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,N,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,no,U,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,>42,F,black,no,"32-42",M,black,no,U,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,N,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,none,object,BF/GF,Yes,false,On View
agg_assault,not_cleared,>42,M,white,yes,>42,F,white,yes,U,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,<18,F,white,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,declined,"25-31",F,white,yes,"25-31",M,white,yes,R,none,none,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"18-24",F,white,no,"25-31",M,white,no,U,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,yes,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"25-31",F,black,no,U,none,none,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,yes,"18-24",F,white,yes,U,minor,firearm,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,yes,>42,M,white,yes,U,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,black,no,U,none,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,major,object,BF/GF,Yes,false,On View
agg_assault,not_cleared,>42,M,white,yes,>42,F,white,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,yes,R,minor,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,no,U,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,black,no,"32-42",F,white,no,R,none,none,Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,white,no,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"32-42",F,white,no,U,minor,object,BF/GF,Yes,false,On View
agg_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,U,none,firearm,Spouse,No,false,No Arrest
intimidation,not_cleared,>42,M,white,unknown,>42,F,white,no,R,none,none,Spouse,No,false,No Arrest
agg_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,N,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"18-24",F,white,no,R,none,none,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,black,no,"32-42",F,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,yes,>42,F,white,yes,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,"32-42",M,white,yes,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",F,black,no,>42,M,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,black,no,>42,F,black,no,R,minor,object,BF/GF-gay,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,yes,"32-42",M,white,yes,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,black,no,"18-24",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,black,no,>42,F,white,no,R,minor,none,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,black,no,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,yes,>42,M,white,no,R,none,object,BF/GF-gay,Yes,false,On View
simp_assault,not_cleared,>42,M,white,no,"25-31",F,white,no,R,none,object,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"25-31",M,white,yes,"25-31",F,white,yes,R,minor,object,BF/GF,Yes,false,On View
intimidation,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,none,none,Spouse,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,yes,R,minor,object,Spouse,No,false,No Arrest
intimidation,not_cleared,"32-42",M,white,yes,>42,F,white,yes,R,none,none,Spouse,No,false,No Arrest
intimidation,not_cleared,"25-31",M,white,yes,"18-24",F,white,no,R,none,none,BF/GF,No,false,No Arrest
rape,not_cleared,"18-24",M,white,no,"18-24",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"25-31",F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,F,black,no,>42,M,black,no,R,none,unknown,CL-Spouse,Yes,false,On View
simp_assault,not_cleared,"18-24",M,white,no,"18-24",F,unknown,yes,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"32-42",M,other,no,"25-31",F,other,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,>42,M,white,no,"32-42",F,white,no,R,minor,object,Spouse,Yes,false,On View
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,R,none,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,declined,"32-42",F,black,no,"32-42",M,black,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",F,black,no,"25-31",M,white,yes,R,none,object,BF/GF,Yes,false,Summoned / Cited
simp_assault,uncooperative,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,unknown,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,yes,U,minor,object,BF/GF,Yes,false,On View
simp_assault,not_cleared,"18-24",M,black,yes,"18-24",F,black,no,N,minor,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",F,white,no,>42,M,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"18-24",F,white,yes,R,minor,object,Spouse,No,false,No Arrest
agg_assault,not_cleared,>42,M,white,no,>42,F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,U,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,yes,"18-24",F,white,yes,U,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,>42,F,white,yes,>42,M,white,yes,U,none,none,CL-Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,white,no,>42,F,white,no,U,minor,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,U,major,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,yes,"32-42",M,white,yes,U,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,>42,F,white,no,N,minor,object,CL-Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",M,black,no,>42,F,black,unknown,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,yes,"32-42",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,black,no,R,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"18-24",F,black,no,N,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,no,"32-42",F,white,no,R,minor,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,unknown,"32-42",M,white,unknown,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",F,white,no,"25-31",M,white,no,U,none,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,no,"25-31",F,white,no,R,minor,firearm,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"25-31",M,white,no,"32-42",F,white,no,U,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,black,no,>42,M,black,no,R,none,object,Spouse,No,false,No Arrest
simp_assault,not_cleared,>42,M,white,no,"32-42",F,white,yes,R,minor,object,Spouse,No,false,No Arrest
simp_assault,uncooperative,"32-42",M,white,no,"25-31",F,unknown,yes,R,minor,object,CL-Spouse,No,false,No Arrest
simp_assault,uncooperative,"25-31",M,white,unknown,"32-42",F,white,yes,R,none,object,Spouse,No,false,No Arrest
simp_assault,declined,"32-42",M,white,unknown,"32-42",F,white,unknown,N,none,object,BF/GF,No,false,No Arrest
rape,uncooperative,"32-42",M,white,unknown,"32-42",F,white,yes,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,declined,"25-31",M,black,unknown,"25-31",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,uncooperative,"32-42",F,white,unknown,>42,M,white,unknown,R,minor,object,BF/GF,No,false,No Arrest
rape,not_cleared,>42,M,white,unknown,>42,F,white,unknown,R,minor,object,BF/GF,No,false,No Arrest
agg_assault,not_cleared,"32-42",M,white,unknown,"32-42",F,white,yes,R,none,object,Spouse,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,black,unknown,"25-31",F,white,unknown,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",M,white,unknown,"32-42",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"32-42",F,black,unknown,>42,M,black,no,R,minor,object,Spouse,No,false,No Arrest
intimidation,not_cleared,>42,M,white,unknown,>42,F,white,unknown,R,none,none,Spouse,No,false,No Arrest
simp_assault,declined,>42,M,white,unknown,>42,F,white,unknown,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,unknown,"18-24",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
simp_assault,not_cleared,"25-31",M,white,unknown,"25-31",F,white,yes,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
agg_assault,not_cleared,"25-31",M,white,unknown,"18-24",F,white,no,R,minor,firearm,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,unknown,"18-24",F,black,no,R,minor,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,black,no,"25-31",F,black,no,R,none,object,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"18-24",M,white,yes,"18-24",F,white,yes,R,minor,object,Spouse,Yes,false,Taken INTO Custody
intimidation,not_cleared,"25-31",M,white,unknown,"25-31",F,white,no,R,none,none,BF/GF,No,false,No Arrest
simp_assault,not_cleared,"32-42",F,white,no,>42,M,white,no,R,minor,object,Spouse,Yes,false,Taken INTO Custody
other,not_cleared,"25-31",M,black,no,"32-42",F,black,no,R,minor,object,BF/GF,Yes,false,Taken INTO Custody
